ELO Range,Win Percentage vs Lower
200-300,91.5938864628821
300-400,90.33613445378151
400-500,88.0
500-600,90.60716139076284
600-700,88.1203007518797
700-800,89.59677419354838
800-900,87.74509803921569
900-1000,91.13520408163265
1000-1100,90.67967698519516
1100-1200,90.73296738779464
1200-1300,87.74215096860387
1300-1400,90.37277147487845
1400-1500,90.10371650821088
1500-1600,88.28250401284109
1600-1700,84.491587417703
1700-1800,84.67391304347827
1800-1900,81.28342245989305
1900-2000,79.54545454545455
2000-2100,79.51219512195122
2100-2200,78.57142857142857
2200-2300,86.66666666666667
2300-2400,82.6086956521739
2400-2500,81.25
2500-2600,87.5
2700-2800,50.0
